stairr.thisTrialN,stairr.stepSize,stairr.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,stairr.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,13.977003999985754,14.460254600009648,14.460254600009648,14.477363499987405,14.760770799999591,1,0.43603969999821857,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
1,2,8.0,14.926917700009653,15.410147899994627,15.410147899994627,15.426969199994346,15.710470999998506,1,0.3629981999984011,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
2,2,6.0,15.793680600007065,16.276670599996578,16.276670599996578,16.293545099993935,16.577048100007232,1,0.3480009000049904,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
3,2,4.0,16.64387179998448,17.126592599990545,17.126592599990545,17.143457600002876,17.427017899986822,1,0.3656364000053145,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
4,2,2.0,17.51040679999278,17.994150599988643,17.994150599988643,18.010344999987865,18.29366170000867,1,0.37547949998406693,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
5,1,1.0,18.3937988000107,18.877022400003625,18.877022400003625,18.893802700011292,19.176502099988284,0,0.6456865000072867,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
6,1,2.0,19.5437632999965,20.043147899996256,20.043147899996256,20.043147899996256,20.343869500007713,1,0.39863240002887323,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
7,1,2.0,20.46000120000099,20.943768199998885,20.943768199998885,20.960757900000317,21.243503400008194,1,0.39873119999538176,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
8,1,2.0,21.35985529999016,21.84348549999413,21.84348549999413,21.85970939998515,22.143442500004312,1,0.37963910002144985,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
9,1,1.0,22.243421499995748,22.727037400007248,22.727037400007248,22.74352849999559,23.02665509999497,1,0.5088689000112936,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
10,1,1.0,23.260062099987408,23.74353579999297,23.74353579999297,23.760363599983975,24.04350010000053,1,0.38703139999415725,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
11,1,1.0,24.160022299998673,24.643332300009206,24.643332300009206,24.660997099999804,24.943594999989728,1,0.5284066000021994,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
12,1,1.0,25.19331780000357,25.6768929999962,25.6768929999962,25.69340029999148,25.976620600005845,1,0.4615613000059966,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
13,1,1.0,26.16013939998811,26.643175100005465,26.643175100005465,26.660147699993104,26.943484999996144,1,0.5456216000020504,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
14,1,1.0,27.210186499985866,27.693800999986706,27.693800999986706,27.71009010000853,27.993637999985367,1,0.44136430000071414,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
15,1,1.0,28.16014520000317,28.643652300001122,28.643652300001122,28.65992420000839,28.94343059998937,1,0.39272919998620637,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
16,0.5,1.0,29.059616199985612,29.543561900005443,29.543561900005443,29.55974860000424,29.84326309998869,0,4.379057800018927,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
17,0.5,1.5,33.943044099985855,34.427140299987514,34.427140299987514,34.4431837000011,34.72656629999983,1,0.5013727000041399,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
18,0.5,1.5,34.959771900001215,35.44290500000352,35.44290500000352,35.45970199999283,35.74265729999752,1,0.5346118000161368,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
19,0.5,1.5,36.00985370000126,36.50969080001232,36.50969080001232,36.50969080001232,36.809784599987324,1,0.4329147000098601,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
20,0.5,1.0,36.95975969999563,37.44289000000572,37.44289000000572,37.45975839998573,37.74323369999183,1,0.424855600023875,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
21,0.5,1.0,37.89352489999146,38.376672399987,38.376672399987,38.3928665999847,38.67614840000169,1,0.47095119999721646,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
22,0.5,1.0,38.87644459999865,39.359529400011525,39.359529400011525,39.3763445999939,39.65931369998725,0,0.33557199998176657,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
23,0.5,1.5,39.72611479999614,40.21008069999516,40.21008069999516,40.226098299986916,40.50976139999693,1,0.8289139999833424,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
24,0.5,1.5,41.059741400007624,41.54292790000909,41.54292790000909,41.55957889999263,41.84249229999841,1,0.5750881000130903,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
25,0.5,1.5,42.14366649999283,42.62595260000671,42.62595260000671,42.64313380001113,42.92638339998666,1,0.30999209999572486,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
26,0.5,1.0,42.95962750000763,43.44276649999665,43.44276649999665,43.459518399991794,43.74291979998816,1,0.5268730000243522,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
27,0.5,1.0,43.99353269999847,44.47643149999203,44.47643149999203,44.49247200001264,44.776155200001085,1,0.6319015999906696,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
